,area_type,availability,location,total_sqft,bath,balcony,price,bhk
71,Super built-up  Area,0,Begur Road,1358.0,2.0,1.0,80.58,2
72,Super built-up  Area,1,Hegde Nagar,1569.0,3.0,1.0,101.0,3
73,Super built-up  Area,0,Haralur Road,1240.0,2.0,1.0,70.0,2
74,Super built-up  Area,1,Hennur Road,2089.0,3.0,2.0,140.0,3
75,Super built-up  Area,1,Kothannur,1206.0,2.0,1.0,48.23,2
76,Super built-up  Area,1,Kalena Agrahara,1150.0,2.0,3.0,40.0,2
77,Built-up  Area,1,other,2511.0,3.0,3.0,205.0,3
79,Built-up  Area,1,ISRO Layout,4400.0,6.0,3.0,250.0,6
80,Super built-up  Area,1,other,1660.0,2.0,2.0,105.0,3
81,Built-up  Area,0,Hennur Road,3203.5,2.0,2.0,224.5,4
82,Super built-up  Area,0,Yelahanka,1326.0,2.0,2.0,78.0,2
83,Super built-up  Area,1,Garudachar Palya,1325.0,2.0,2.0,60.8,3
84,Super built-up  Area,1,EPIP Zone,1499.0,5.0,2.0,102.0,3
85,Built-up  Area,1,Hegde Nagar,3000.0,7.0,2.0,210.0,6
86,Super built-up  Area,1,Kanakpura Road,1665.0,3.0,2.0,88.0,3
87,Super built-up  Area,0,Dasanapura,708.0,2.0,2.0,37.0,2
88,Super built-up  Area,1,Kasavanhalli,1060.0,2.0,2.0,58.06,2
90,Built-up  Area,1,Sanjay nagar,1000.0,2.0,2.0,70.0,2
91,Super built-up  Area,0,Electronic City,1000.0,2.0,1.0,28.88,2
92,Super built-up  Area,1,other,1450.0,2.0,2.0,70.0,3
94,Super built-up  Area,0,Thanisandra,1296.0,2.0,3.0,80.0,2
95,Super built-up  Area,1,Domlur,1540.0,3.0,2.0,90.0,3
96,Plot  Area,1,Kengeri,2894.0,4.0,1.0,245.0,4
97,Super built-up  Area,1,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3
98,Built-up  Area,1,other,1200.0,2.0,1.0,65.0,2
99,Built-up  Area,1,other,1200.0,3.0,1.0,90.0,3
100,Super built-up  Area,1,Yeshwanthpur,2502.0,3.0,3.0,138.0,3
101,Built-up  Area,1,Chandapura,650.0,1.0,1.0,17.0,2
102,Plot  Area,1,Kothanur,2400.0,2.0,1.0,150.0,3
103,Super built-up  Area,1,other,1007.0,2.0,2.0,43.0,2
104,Super built-up  Area,1,other,1200.0,2.0,2.0,50.0,2
105,Super built-up  Area,1,other,966.0,2.0,2.0,49.9,2
106,Built-up  Area,1,Nagarbhavi,1630.0,2.0,1.0,98.0,3
108,Built-up  Area,1,other,782.0,2.0,2.0,55.68,2
109,Super built-up  Area,0,Devanahalli,1260.0,2.0,2.0,66.78,2
110,Super built-up  Area,1,other,1800.0,3.0,3.0,120.0,3
111,Super built-up  Area,1,other,1413.0,2.0,2.0,75.0,3
112,Super built-up  Area,1,Whitefield,1116.0,2.0,1.0,51.91,2
113,Super built-up  Area,1,Electronic City,1530.0,2.0,1.0,45.9,3
114,Built-up  Area,1,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4
115,Built-up  Area,1,Sarjapur  Road,2497.0,3.0,2.0,140.0,3
116,Super built-up  Area,1,Kengeri,1540.0,2.0,3.0,64.0,3
117,Super built-up  Area,0,Thanisandra,1436.0,3.0,1.0,74.75,3
118,Super built-up  Area,0,Malleshwaram,1100.0,2.0,2.0,75.0,2
120,Super built-up  Area,1,Thanisandra,1427.0,3.0,2.0,120.0,3
121,Super built-up  Area,1,Akshaya Nagar,2061.0,3.0,1.0,200.0,3
123,Built-up  Area,1,Shampura,2650.0,4.0,2.0,150.0,4
124,Super built-up  Area,0,Devanahalli,1282.0,2.0,2.0,68.52,3
125,Built-up  Area,1,Kadugodi,1050.0,2.0,1.0,34.0,2
126,Built-up  Area,1,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3
127,Super built-up  Area,0,other,945.0,2.0,1.0,54.0,2
128,Super built-up  Area,1,Hormavu,1500.0,2.0,1.0,78.0,2
130,Built-up  Area,1,other,1870.0,3.0,3.0,110.0,3
131,Plot  Area,1,Sarjapur,1600.0,3.0,1.0,75.0,3
132,Super built-up  Area,1,Electronic City,880.0,1.0,1.0,16.5,2
134,Super built-up  Area,1,Kudlu Gate,1535.0,3.0,2.0,83.0,3
135,Built-up  Area,1,Kanakpura Road,950.0,2.0,1.0,57.0,2
136,Super built-up  Area,0,Devanahalli,1360.0,2.0,1.0,65.0,2
137,Super built-up  Area,0,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
138,Super built-up  Area,0,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3
139,Super built-up  Area,0,other,1260.0,2.0,2.0,85.05,3
140,Built-up  Area,1,Hennur Road,5000.0,8.0,2.0,250.0,8
141,Super built-up  Area,0,Yelahanka,3050.0,5.0,1.0,213.0,5
142,Super built-up  Area,1,Kasavanhalli,1563.05,3.0,1.0,105.0,3
143,Super built-up  Area,1,ISRO Layout,1000.0,2.0,1.0,60.0,2
144,Super built-up  Area,0,Anandapura,1167.0,2.0,1.0,43.76,2
145,Super built-up  Area,1,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7
146,Super built-up  Area,1,Kothanur,1828.0,3.0,2.0,110.0,3
147,Super built-up  Area,1,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2
148,Super built-up  Area,1,other,1612.0,3.0,3.0,46.74,3
150,Super built-up  Area,0,Mysore Road,1710.0,4.0,2.0,91.31,3
151,Super built-up  Area,1,Kannamangala,957.0,2.0,1.0,58.0,2
152,Super built-up  Area,0,Devarachikkanahalli,1250.0,2.0,3.0,44.0,3
153,Super built-up  Area,1,other,2795.0,4.0,2.0,235.0,3
154,Super built-up  Area,1,Hulimavu,1125.0,2.0,2.0,50.0,2
155,Super built-up  Area,0,Electronic City Phase II,1020.0,2.0,1.0,30.6,2
156,Super built-up  Area,1,Kalena Agrahara,1200.0,2.0,2.0,50.0,2
157,Super built-up  Area,1,Thanisandra,1735.0,3.0,3.0,135.0,3
158,Super built-up  Area,1,Thanisandra,2050.0,3.0,1.0,145.0,3
160,Built-up  Area,1,other,1350.0,2.0,3.0,48.0,3
161,Super built-up  Area,0,Hosa Road,1063.0,2.0,1.0,32.0,2
162,Super built-up  Area,1,other,1904.0,3.0,1.0,150.0,3
163,Built-up  Area,1,Whitefield,4200.0,4.0,2.0,420.0,4
164,Super built-up  Area,1,other,2000.0,3.0,1.0,175.0,3
165,Super built-up  Area,0,Sarjapur,1242.5,2.0,0.0,43.49,2
166,Super built-up  Area,1,other,1425.0,2.0,2.0,75.0,3
167,Super built-up  Area,1,Electronic City,1500.0,2.0,1.0,64.5,3
168,Built-up  Area,1,Electronic City,1060.0,2.0,1.0,60.0,2
169,Built-up  Area,1,other,1470.0,2.0,2.0,70.0,3
171,Super built-up  Area,1,Attibele,450.0,1.0,1.0,11.0,1
172,Super built-up  Area,0,Electronic City,1152.0,2.0,1.0,64.5,2
173,Super built-up  Area,1,Electronic City,1350.0,2.0,1.0,56.0,3
174,Super built-up  Area,1,CV Raman Nagar,1550.0,3.0,3.0,65.0,3
175,Plot  Area,1,other,1500.0,3.0,2.0,100.0,3
177,Plot  Area,1,Nagavara,400.0,1.0,0.0,14.0,1
178,Super built-up  Area,1,Malleshwaram,705.0,1.0,2.0,67.0,1
179,Built-up  Area,1,Electronic City,770.0,1.0,1.0,36.0,2
180,Super built-up  Area,1,Hulimavu,1242.0,2.0,3.0,51.0,2
181,Super built-up  Area,1,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3
182,Super built-up  Area,1,Thanisandra,2144.0,3.0,2.0,145.0,3
183,Super built-up  Area,0,Vijayanagar,1704.0,3.0,2.0,110.0,3
184,Super built-up  Area,1,Electronic City,1070.0,2.0,1.0,52.0,2
186,Super built-up  Area,1,other,1340.0,2.0,2.0,55.7,2
187,Built-up  Area,1,Electronic City,1025.0,2.0,1.0,46.0,2
188,Super built-up  Area,1,KR Puram,1277.5,2.0,0.0,56.8,2
189,Super built-up  Area,1,Marathahalli,1200.0,2.0,2.0,52.0,2
190,Built-up  Area,0,Kanakpura Road,2250.0,4.0,1.0,110.0,4
191,Super built-up  Area,1,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3
194,Super built-up  Area,1,Marathahalli,1200.0,2.0,2.0,60.0,2
195,Super built-up  Area,1,Yelahanka,1327.0,2.0,2.0,98.0,2
196,Super built-up  Area,1,Kothanur,1186.0,2.0,2.0,58.0,2
197,Built-up  Area,1,other,1783.0,3.0,1.0,115.0,3
198,Super built-up  Area,1,HSR Layout,1400.0,3.0,2.0,56.0,3
199,Super built-up  Area,1,Nagasandra,980.0,2.0,1.0,48.0,2
200,Super built-up  Area,1,EPIP Zone,1285.0,2.0,2.0,82.0,2
201,Super built-up  Area,1,other,912.0,2.0,1.0,70.0,3
202,Built-up  Area,1,Whitefield,1225.0,2.0,2.0,47.6,2
203,Super built-up  Area,1,Whitefield,1075.0,2.0,1.0,53.0,2
204,Built-up  Area,1,Kadugodi,1260.0,2.0,2.0,54.0,3
205,Super built-up  Area,1,Yelahanka,1282.0,2.0,2.0,48.7,3
206,Super built-up  Area,1,Kogilu,1909.0,3.0,2.0,88.0,3
207,Super built-up  Area,1,Panathur,1359.0,2.0,1.0,87.0,2
208,Built-up  Area,1,other,1207.0,2.0,2.0,43.5,2
211,Super built-up  Area,1,Kammasandra,1595.0,3.0,2.0,65.0,3
212,Built-up  Area,0,other,1798.0,3.0,2.0,89.0,3
213,Super built-up  Area,1,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3
214,Super built-up  Area,1,other,1580.0,3.0,3.0,100.0,3
215,Super built-up  Area,1,Dasarahalli,1295.0,2.0,1.0,65.0,2
216,Built-up  Area,1,Magadi Road,3600.0,6.0,0.0,141.0,6
217,Super built-up  Area,1,Electronic City,589.0,1.0,1.0,27.0,1
218,Super built-up  Area,1,other,1415.0,3.0,3.0,78.0,3
219,Super built-up  Area,0,Sarjapur  Road,1787.0,3.0,2.0,98.29,3
220,Super built-up  Area,1,Sarjapur  Road,1787.0,3.0,2.0,125.0,3
221,Super built-up  Area,1,Koramangala,1475.0,2.0,3.0,90.0,3
222,Built-up  Area,1,other,2000.0,4.0,1.0,75.5,4
223,Super built-up  Area,0,Sarjapur  Road,984.0,2.0,1.0,44.28,2
224,Super built-up  Area,0,Devanahalli,1630.0,2.0,2.0,74.82,3
225,Super built-up  Area,1,other,2405.0,4.0,2.0,260.0,3
226,Built-up  Area,1,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
227,Plot  Area,1,other,1500.0,2.0,1.0,115.0,2
228,Super built-up  Area,1,Hebbal,1900.0,3.0,2.0,119.0,3
229,Super built-up  Area,0,Dommasandra,805.0,2.0,1.0,22.14,2
230,Super built-up  Area,1,Budigere,1153.0,2.0,2.0,56.4,2
231,Super built-up  Area,1,other,1148.0,2.0,2.0,60.0,2
232,Super built-up  Area,1,other,1110.0,2.0,2.0,55.0,2
233,Built-up  Area,1,Electronic City,1100.0,2.0,2.0,42.0,2
234,Super built-up  Area,1,Kalyan nagar,1290.0,2.0,2.0,110.0,2
235,Super built-up  Area,1,other,1500.0,2.0,1.0,65.0,3
236,Super built-up  Area,0,other,1080.0,2.0,2.0,39.0,2
237,Super built-up  Area,0,Vijayanagar,1933.0,3.0,1.0,129.0,3
238,Built-up  Area,1,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5
239,Built-up  Area,1,other,1060.0,2.0,2.0,60.0,2
240,Super built-up  Area,0,Chandapura,645.0,1.0,1.0,16.45,1
241,Plot  Area,1,other,2600.0,8.0,2.0,180.0,8
242,Super built-up  Area,0,Chandapura,645.0,1.0,1.0,16.45,1
243,Super built-up  Area,1,other,1644.0,3.0,3.0,84.0,3
244,Super built-up  Area,1,other,1285.0,2.0,3.0,72.5,2
245,Plot  Area,1,Electronic City,1200.0,3.0,1.0,90.0,3
246,Super built-up  Area,1,Electronic City,910.0,2.0,1.0,40.0,2
247,Super built-up  Area,1,Kothanur,1577.0,3.0,1.0,70.0,3
249,Super built-up  Area,1,OMBR Layout,2420.0,3.0,2.0,185.0,3
250,Super built-up  Area,1,Chandapura,800.0,1.0,1.0,20.0,2
251,Built-up  Area,1,other,1060.0,2.0,2.0,55.0,2
252,Super built-up  Area,1,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
253,Super built-up  Area,0,other,900.0,2.0,2.0,22.5,2
254,Built-up  Area,1,other,1280.0,2.0,1.0,69.0,2
255,Plot  Area,1,Horamavu Agara,1200.0,2.0,0.0,95.0,4
256,Built-up  Area,1,Sarjapur  Road,1025.0,2.0,2.0,36.0,2
257,Super built-up  Area,0,Electronic City,1108.0,2.0,1.0,63.0,2
259,Super built-up  Area,1,other,3045.0,3.0,2.0,170.0,3
260,Plot  Area,1,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4
261,Super built-up  Area,1,Vijayanagar,1500.0,3.0,2.0,75.5,3
262,Super built-up  Area,1,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2
263,Super built-up  Area,1,Budigere,1162.0,2.0,1.0,59.9,2
264,Super built-up  Area,1,Sarjapur  Road,1035.0,2.0,2.0,49.2,2
265,Built-up  Area,1,Attibele,1600.0,4.0,0.0,52.8,4
266,Super built-up  Area,1,other,1464.0,3.0,2.0,46.0,3
267,Super built-up  Area,0,Hennur Road,1866.0,2.0,2.0,61.58,3
268,Super built-up  Area,1,other,700.0,1.0,1.0,26.0,2
269,Super built-up  Area,1,Kalena Agrahara,1804.0,3.0,2.0,120.0,3
270,Super built-up  Area,1,Sarjapur,913.0,2.0,1.0,32.0,2
271,Super built-up  Area,0,Talaghattapura,1868.0,3.0,2.0,131.0,3
272,Built-up  Area,1,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2
274,Super built-up  Area,1,Kogilu,1664.0,2.0,3.0,73.95,3
275,Super built-up  Area,1,Hegde Nagar,2026.0,3.0,2.0,132.0,3
276,Super built-up  Area,1,Balagere,1210.0,2.0,1.0,80.9,2
277,Plot  Area,1,other,4111.0,4.0,2.0,250.0,4
278,Super built-up  Area,1,Kadugodi,1762.0,3.0,3.0,91.45,3
279,Super built-up  Area,1,Jigani,1252.0,3.0,3.0,55.0,3
280,Built-up  Area,1,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2
281,Built-up  Area,1,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
283,Built-up  Area,1,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3
284,Super built-up  Area,1,Bisuvanahalli,1075.0,2.0,1.0,46.0,3
285,Super built-up  Area,0,Old Madras Road,1425.0,2.0,2.0,94.0,3
286,Built-up  Area,1,Kalena Agrahara,1200.0,2.0,1.0,40.0,2
287,Super built-up  Area,1,Kaggadasapura,1280.0,2.0,2.0,56.0,3
288,Super built-up  Area,1,other,1084.0,2.0,2.0,50.0,2
289,Super built-up  Area,0,Chandapura,1015.0,2.0,2.0,25.88,2
290,Super built-up  Area,0,Kanakpura Road,1017.0,2.0,1.0,51.25,2
291,Super built-up  Area,1,Haralur Road,1027.0,2.0,2.0,44.0,2
292,Super built-up  Area,1,Electronic City Phase II,1069.0,2.0,2.0,45.0,2
293,Super built-up  Area,1,Hebbal,1349.0,2.0,1.0,98.2,2
294,Super built-up  Area,1,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
295,Super built-up  Area,1,Jakkur,1417.0,2.0,3.0,75.0,2
296,Plot  Area,0,TC Palaya,1475.0,3.0,1.0,98.0,3
297,Carpet  Area,1,other,950.0,2.0,2.0,47.0,2
298,Super built-up  Area,1,other,2000.0,4.0,0.0,120.0,4
300,Super built-up  Area,1,Sarjapur  Road,1863.0,3.0,2.0,104.0,4
301,Super built-up  Area,1,Singasandra,1010.0,2.0,1.0,29.5,2
302,Super built-up  Area,1,Kalena Agrahara,1425.0,2.0,1.0,70.0,3
303,Super built-up  Area,1,Vijayanagar,1450.0,3.0,0.0,100.0,3
304,Super built-up  Area,1,Kothanur,1847.0,3.0,2.0,105.0,3
305,Super built-up  Area,1,AECS Layout,1100.0,2.0,3.0,45.0,2
306,Super built-up  Area,0,Kanakpura Road,525.0,1.0,1.0,26.0,1
307,Super built-up  Area,1,Mallasandra,1665.0,3.0,2.0,95.0,3
308,Super built-up  Area,1,Begur,1664.0,4.0,3.0,65.0,4
309,Super built-up  Area,1,JP Nagar,1850.0,3.0,3.0,150.0,3
310,Super built-up  Area,1,Panathur,1438.0,2.0,3.0,100.0,2
311,Super built-up  Area,1,other,1560.0,3.0,3.0,115.0,3
312,Super built-up  Area,0,Yelahanka,1350.0,2.0,1.0,55.55,2
313,Super built-up  Area,1,Kanakpura Road,1550.0,3.0,3.0,67.0,3
314,Super built-up  Area,0,Malleshpalya,1140.0,2.0,2.0,46.5,2
316,Super built-up  Area,0,other,850.0,2.0,2.0,27.0,2
317,Super built-up  Area,1,Whitefield,1280.0,2.0,2.0,75.0,2
318,Built-up  Area,1,Munnekollal,1170.0,2.0,2.0,52.0,2
319,Super built-up  Area,1,other,1113.0,2.0,1.0,51.0,2
320,Super built-up  Area,1,Hennur Road,1385.0,2.0,1.0,83.09,2
321,Super built-up  Area,0,Electronic City,1128.0,2.0,1.0,65.0,2
322,Plot  Area,1,Marathahalli,1200.0,2.0,2.0,128.0,2
326,Super built-up  Area,1,Haralur Road,1464.0,3.0,2.0,56.0,3
327,Super built-up  Area,1,other,1200.0,2.0,2.0,55.0,2
328,Super built-up  Area,1,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2
329,Super built-up  Area,1,Kaggalipura,1150.0,2.0,1.0,55.0,3
330,Built-up  Area,1,other,1645.0,3.0,2.0,95.0,3
331,Super built-up  Area,0,Sarjapur  Road,1000.0,2.0,1.0,67.0,2
332,Plot  Area,1,Haralur Road,2650.0,4.0,2.0,198.0,4
333,Super built-up  Area,1,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2
334,Super built-up  Area,1,Ulsoor,2135.0,3.0,2.0,215.0,3
335,Super built-up  Area,0,Whitefield,1173.0,2.0,1.0,58.0,2
336,Built-up  Area,1,Uttarahalli,1020.0,2.0,2.0,45.0,2
337,Super built-up  Area,1,Thigalarapalya,3122.0,6.0,2.0,230.0,4
338,Super built-up  Area,1,Somasundara Palya,1600.0,3.0,3.0,64.0,3
339,Plot  Area,0,other,1200.0,2.0,0.0,79.0,2
340,Carpet  Area,1,other,1230.0,2.0,3.0,48.0,2
341,Super built-up  Area,1,Devarachikkanahalli,1250.0,2.0,2.0,40.0,2
342,Super built-up  Area,1,Kalena Agrahara,1325.0,2.0,2.0,76.0,2
343,Built-up  Area,1,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
344,Super built-up  Area,0,Kanakpura Road,525.0,2.0,2.0,21.53,1
345,Super built-up  Area,1,Basaveshwara Nagar,1200.0,2.0,2.0,65.0,2
346,Plot  Area,1,other,1350.0,2.0,0.0,140.0,3
347,Super built-up  Area,0,Bommasandra,1260.0,3.0,1.0,49.36,3
348,Super built-up  Area,1,other,1800.0,3.0,0.0,150.0,3
350,Built-up  Area,1,Ardendale,1100.0,2.0,1.0,43.25,2
351,Super built-up  Area,1,Harlur,1508.0,2.0,1.0,77.0,2
352,Carpet  Area,1,other,1592.0,3.0,2.0,75.0,3
353,Super built-up  Area,1,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
354,Super built-up  Area,0,Electronic City Phase II,630.0,1.0,1.0,28.35,1
356,Super built-up  Area,1,other,1762.0,3.0,1.0,125.0,3
357,Super built-up  Area,0,other,950.0,2.0,2.0,50.0,2
358,Super built-up  Area,1,Kodihalli,3252.0,5.0,3.0,335.0,4
359,Super built-up  Area,0,Magadi Road,1116.0,2.0,1.0,50.0,2
360,Super built-up  Area,1,Narayanapura,1308.0,2.0,2.0,89.04,2
361,Super built-up  Area,1,other,1200.0,3.0,0.0,90.0,3
363,Built-up  Area,1,Bannerghatta Road,500.0,1.0,1.0,18.5,1
364,Super built-up  Area,1,Hennur,1075.0,2.0,1.0,52.0,2
365,Super built-up  Area,0,Chandapura,530.0,1.0,0.0,11.66,1
366,Built-up  Area,1,Bellandur,1205.0,2.0,3.0,66.0,2
367,Super built-up  Area,1,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
368,Built-up  Area,1,KR Puram,930.0,2.0,2.0,39.0,2
369,Super built-up  Area,1,Balagere,1380.0,2.0,1.0,60.0,2
370,Super built-up  Area,1,Hebbal,2483.0,5.0,2.0,212.0,4
371,Built-up  Area,1,Kodigehaali,1166.0,2.0,2.0,55.0,2
372,Super built-up  Area,1,Bannerghatta Road,1050.0,2.0,1.0,65.0,2
374,Super built-up  Area,1,Begur Road,1200.0,2.0,2.0,46.8,2
375,Super built-up  Area,1,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3
376,Super built-up  Area,1,Billekahalli,1935.0,3.0,2.0,110.0,3
377,Super built-up  Area,0,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
378,Super built-up  Area,1,Electronic City,1800.0,3.0,2.0,95.0,3
379,Super built-up  Area,0,Jalahalli,1400.0,3.0,0.0,77.0,3
380,Super built-up  Area,1,Hegde Nagar,1801.0,3.0,2.0,115.0,3
381,Built-up  Area,1,Mahadevpura,1451.0,2.0,2.0,90.0,2
382,Plot  Area,0,Anekal,1200.0,1.0,1.0,36.0,2
383,Super built-up  Area,1,Begur Road,1160.0,2.0,2.0,44.0,2
384,Built-up  Area,1,Kengeri,1000.0,2.0,1.0,25.0,2
385,Super built-up  Area,1,Kanakpura Road,950.0,2.0,1.0,40.0,2
386,Built-up  Area,0,other,1629.0,3.0,2.0,79.0,3
387,Built-up  Area,1,Vijayanagar,1580.0,2.0,0.0,134.0,3
388,Super built-up  Area,0,Vijayanagar,1826.0,3.0,2.0,121.0,3
389,Built-up  Area,1,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
390,Super built-up  Area,1,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2
391,Super built-up  Area,1,Sompura,825.0,2.0,1.0,33.0,2
392,Super built-up  Area,0,Yeshwanthpur,1693.0,3.0,3.0,108.0,3
393,Super built-up  Area,1,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2
394,Built-up  Area,1,other,1460.0,2.0,1.0,58.0,2
395,Built-up  Area,1,Doddathoguru,1050.0,2.0,1.0,32.0,2
396,Built-up  Area,1,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2
398,Built-up  Area,1,Hosur Road,1656.0,2.0,1.0,120.0,2
399,Super built-up  Area,1,Chandapura,1208.0,3.0,1.0,45.0,3
400,Super built-up  Area,1,Whitefield,1910.0,3.0,2.0,161.0,3
401,Super built-up  Area,1,Whitefield,3252.0,4.0,1.0,230.0,4
402,Plot  Area,1,Battarahalli,1200.0,2.0,1.0,65.0,2
404,Super built-up  Area,1,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
406,Plot  Area,1,Bannerghatta Road,1200.0,2.0,0.0,125.0,4
411,Super built-up  Area,1,other,1185.0,2.0,2.0,38.0,2
